station_id,SiteName,SiteEngName,AreaName,County,Township,SiteAddress,TWD97Lon,TWD97Lat,SiteType
EPA051,大寮,Daliao,高屏空品區,高雄市,大寮區,高雄市大寮區潮寮路61號,120.4253,22.5641,一般測站
EPA052,林園,Linyuan,高屏空品區,高雄市,林園區,高雄市林園區北汕路58巷2號,120.4118,22.4795,一般測站
EPA053,楠梓,Nanzi,高屏空品區,高雄市,楠梓區,高雄市楠梓區楠梓路262號,120.3283,22.7337,一般測站
EPA054,左營,Zuoying,高屏空品區,高雄市,左營區,高雄市左營區翠華路687號,120.2929,22.6749,一般測站
EPA056,前金,Qianjin,高屏空品區,高雄市,前金區,高雄市前金區河南二路196號,120.2881,22.6326,一般測站
EPA057,前鎮,Qianzhen,高屏空品區,高雄市,前鎮區,高雄市前鎮區中山三路43號,120.3076,22.6054,工業測站
EPA058,小港,Xiaogang,高屏空品區,高雄市,小港區,高雄市小港區平和南路185號,120.3377,22.5658,一般測站
EPA059,屏東,Pingtung,高屏空品區,屏東縣,屏東市,屏東縣屏東市蘇州街75號,120.4880,22.6731,一般測站
EPA060,潮州,Chaozhou,高屏空品區,屏東縣,潮州鎮,屏東縣潮州鎮復興路66號,120.5612,22.5231,一般測站
EPA061,恆春,Hengchun,高屏空品區,屏東縣,恆春鎮,屏東縣恆春鎮公園路44號,120.7889,21.9581,一般測站
EPA062,臺東,Taitung,花東空品區,臺東縣,臺東市,臺東縣臺東市中山路276號,121.1505,22.7554,一般測站
EPA063,花蓮,Hualien,花東空品區,花蓮縣,花蓮市,花蓮縣花蓮市中正路210號,121.5998,23.9713,一般測站
EPA064,陽明,Yangming,北部空品區,臺北市,北投區,臺北市北投區竹子湖路111號,121.5296,25.1827,公園測站
EPA065,宜蘭,Yilan,宜蘭空品區,宜蘭縣,宜蘭市,宜蘭縣宜蘭市復興路二段77號,121.7464,24.7479,一般測站
EPA066,冬山,Dongshan,宜蘭空品區,宜蘭縣,冬山鄉,宜蘭縣冬山鄉照安路26號,121.7929,24.6322,一般測站
EPA067,三重,Sanchong,北部空品區,新北市,三重區,新北市三重區三和路與重陽路交口,121.4938,25.0726,交通測站
EPA068,中壢,Zhongli,北部空品區,桃園市,中壢區,桃園市中壢區延平路622號,121.2217,24.9533,交通測站
EPA069,竹山,Zhushan,中部空品區,南投縣,竹山鎮,南投縣竹山鎮大明路666號,120.6773,23.7564,一般測站
EPA070,永和,Yonghe,北部空品區,新北市,永和區,新北市永和區永和路與光復路交口,121.5163,25.0170,交通測站
EPA071,復興,Fuxing,高屏空品區,高雄市,前鎮區,高雄市前鎮區民權二路331號,120.3120,22.6087,交通測站
EPA072,埔里,Puli,中部空品區,南投縣,埔里鎮,南投縣埔里鎮西安路1段193號,120.9679,23.9688,其他測站
EPA073,富貴角,FugueiCape,北部空品區,新北市,石門區,新北市石門區富貴角海邊,121.5380,25.2974,背景測站
EPA080,關山,Guanshan,花東空品區,臺東縣,關山鎮,臺東縣關山鎮自強路66號,121.1619,23.0451,其他測站
EPA101,金門,Kinmen,離島空品區,金門縣,金城鎮,金門縣金城鎮民權路32號,118.3123,24.4321,一般測站
EPA102,馬祖,Matsu,離島空品區,連江縣,南竿鄉,連江縣南竿鄉介壽村156-10號,119.9525,26.1536,一般測站
EPA104,馬公,Magong,離島空品區,澎湖縣,馬公市,澎湖縣馬公市中正路115號,119.5662,23.5690,一般測站
EPA110,麥寮,Mailiao,雲嘉南空品區,雲林縣,麥寮鄉,雲林縣麥寮鄉中興路115號,120.2518,23.7535,工業測站
